# emin-emax: 8950.6-9030.4eV
# nblock: 100
# time consume: 110.43s
# count: 573257
# step size: 2
# walk param (range, step): 0.010 0.010
# best r2: 6.14358276e-06
# tau: 1.0e-11
# std: Cu-Cu2O-CuO
# Cu Cu2O CuO
1.844 0.689 0.050
2.168 0.670 0.000
0.000 0.020 0.670
0.000 0.170 0.570
1.320 0.949 0.010
1.942 0.738 0.000
1.675 0.870 0.010
1.953 1.399 0.000
1.889 0.671 0.010
1.738 0.979 0.000
1.860 0.755 0.000
2.103 0.725 0.000
1.899 2.411 0.000
1.873 0.530 0.020
2.126 0.874 0.000
1.350 1.035 0.000
2.139 0.650 0.000
1.765 0.799 0.010
1.423 1.108 0.000
1.689 0.970 0.000
0.000 1.383 0.010
0.360 1.412 0.000
0.000 1.362 0.020
1.573 0.954 0.000
1.790 0.991 0.000
1.170 1.254 0.000
0.000 1.485 0.000
1.846 0.936 0.000
0.010 1.442 0.000
0.000 0.090 0.620
1.774 0.969 0.000
1.826 0.779 0.000
0.000 0.030 0.650
0.000 0.203 0.520
1.781 0.830 0.000
1.960 1.036 0.010
1.942 0.826 0.010
0.748 1.179 0.010
1.858 0.672 0.000
2.067 0.571 0.000
0.020 0.050 0.640
0.000 0.030 0.658
0.010 0.130 0.609
0.000 0.200 0.540
1.873 0.925 0.000
1.910 0.914 0.000
0.000 0.409 0.452
1.740 1.364 0.000
2.104 0.410 0.050
0.010 0.050 0.650
1.953 0.689 0.000
2.077 0.739 0.020
0.000 0.144 0.590
1.710 0.913 0.010
1.903 0.722 0.000
1.866 0.891 0.000
0.020 0.020 0.664
1.783 0.855 0.010
0.000 1.284 0.000
2.087 0.818 0.000
1.942 0.919 0.010
1.681 0.902 0.000
2.131 0.612 0.000
1.440 1.075 0.000
0.000 0.883 0.230
1.473 0.949 0.000
2.282 0.560 0.000
1.666 0.968 0.010
2.169 0.530 0.000
2.135 1.142 0.010
2.050 0.777 0.000
2.314 0.372 0.020
0.000 1.435 0.000
0.000 0.480 0.407
2.159 0.600 0.020
0.000 0.110 0.610
1.597 0.990 0.000
0.000 0.463 0.440
2.284 0.502 0.000
1.807 0.990 0.010
1.954 0.551 0.030
1.738 0.808 0.000
1.888 0.816 0.010
0.000 0.080 0.610
1.955 0.558 0.020
2.269 0.559 0.000
1.750 0.826 0.000
2.323 0.627 0.000
0.000 0.030 0.640
1.715 0.796 0.000
1.778 0.845 0.000
1.783 0.918 0.000
1.826 0.924 0.000
0.000 0.000 0.588
0.020 0.324 0.490
0.000 0.020 0.620
0.010 0.000 0.680
1.810 1.293 0.010
0.000 0.060 0.600
0.000 0.564 0.320
