   9809     AichiSR  BL5S1
 Ni_foil         22.08.30 11:24 - 22.08.30 11:26
                                                                                 
 Ring :   1.2 GeV   300.3 mA -  300.2 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 14.93709 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4509
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        7410.46   8810.46        0.31       0.02      4511
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4504.800  8764.000  8106.300
  15.47317  15.47407    0.0241   8375445  38591936  15467994
  15.47261  15.47355    0.0241   8375445  38591936  15467994
  15.47206  15.47302    0.0241   8368405  38570536  15458294
  15.47150  15.47247    0.0241   8362035  38537736  15444894
  15.47094  15.47190    0.0241   8348885  38477336  15424494
  15.47039  15.47132    0.0241   8342085  38449436  15413294
  15.46983  15.47075    0.0241   8331405  38405436  15398294
  15.46928  15.47019    0.0241   8331385  38414836  15401594
  15.46872  15.46964    0.0241   8322935  38376336  15386994
  15.46817  15.46908    0.0241   8328845  38401036  15397194
  15.46761  15.46853    0.0241   8337765  38456536  15422494
  15.46706  15.46799    0.0241   8360215  38563236  15468594
  15.46650  15.46744    0.0241   8373345  38627436  15493494
  15.46594  15.46689    0.0241   8384175  38676036  15517094
  15.46539  15.46633    0.0241   8389015  38711936  15528494
  15.46483  15.46576    0.0241   8396045  38747636  15546694
  15.46428  15.46520    0.0241   8399215  38764436  15552594
  15.46372  15.46465    0.0241   8399375  38773136  15558094
  15.46317  15.46411    0.0241   8403155  38800536  15571294
  15.46261  15.46359    0.0241   8402145  38792936  15569794
  15.46206  15.46306    0.0241   8405085  38816136  15581594
  15.46150  15.46251    0.0241   8396575  38783036  15571394
  15.46094  15.46194    0.0241   8399605  38804836  15579594
  15.46039  15.46136    0.0241   8396635  38792736  15576994
  15.45983  15.46079    0.0241   8395035  38795836  15580294
  15.45928  15.46023    0.0241   8391375  38772336  15566594
  15.45872  15.45966    0.0241   8386455  38751736  15563694
  15.45817  15.45910    0.0241   8383705  38747136  15562594
  15.45761  15.45855    0.0241   8378175  38725236  15556894
  15.45706  15.45799    0.0241   8375365  38715636  15555194
  15.45650  15.45745    0.0241   8367235  38684236  15542994
  15.45594  15.45689    0.0241   8370575  38706236  15552494
  15.45539  15.45632    0.0241   8360965  38660936  15537194
  15.45483  15.45575    0.0241   8363535  38675036  15542294
  15.45428  15.45518    0.0241   8359285  38656936  15540394
  15.45372  15.45463    0.0241   8357375  38653936  15538794
  15.45317  15.45409    0.0241   8352685  38625836  15529394
  15.45261  15.45356    0.0241   8345855  38595536  15519794
  15.45206  15.45303    0.0241   8346085  38606236  15525294
  15.45150  15.45248    0.0241   8337215  38578636  15514794
  15.45094  15.45190    0.0241   8329355  38526636  15496194
  15.45039  15.45132    0.0241   8318815  38494736  15483194
  15.44983  15.45075    0.0241   8316235  38477936  15479094
  15.44928  15.45019    0.0241   8300775  38431236  15459294
  15.44872  15.44963    0.0241   8297615  38414036  15455694
  15.44817  15.44908    0.0241   8297615  38411836  15454494
  15.44761  15.44852    0.0241   8301305  38424636  15462994
  15.44706  15.44797    0.0241   8303255  38447036  15473294
  15.44650  15.44743    0.0241   8323975  38543436  15514294
  15.44594  15.44687    0.0241   8346415  38650436  15560394
  15.44539  15.44631    0.0241   8354675  38696936  15576994
  15.44483  15.44574    0.0241   8365085  38751236  15599694
  15.44428  15.44518    0.0241   8369645  38777836  15612894
  15.44372  15.44463    0.0241   8377825  38822836  15629494
  15.44317  15.44409    0.0241   8379065  38833236  15636894
  15.44261  15.44356    0.0241   8377235  38832336  15640394
  15.44206  15.44303    0.0241   8386455  38871436  15657994
  15.44150  15.44248    0.0241   8384375  38876136  15659894
  15.44094  15.44192    0.0241   8385615  38881936  15660594
  15.44039  15.44134    0.0241   8385655  38878036  15666594
  15.43983  15.44077    0.0241   8383995  38889336  15668094
  15.43928  15.44021    0.0241   8381535  38872236  15664194
  15.43872  15.43965    0.0241   8381385  38881136  15670194
  15.43817  15.43910    0.0241   8374905  38859636  15660694
  15.43761  15.43854    0.0241   8373385  38849836  15662094
  15.43706  15.43800    0.0241   8369125  38838436  15656094
  15.43650  15.43745    0.0241   8366035  38819836  15652694
  15.43594  15.43690    0.0241   8362985  38815036  15650594
  15.43539  15.43634    0.0241   8355805  38790336  15639494
  15.43483  15.43577    0.0241   8356445  38793536  15644694
  15.43428  15.43521    0.0241   8350075  38753436  15633394
  15.43372  15.43466    0.0241   8348885  38763436  15633594
  15.43317  15.43412    0.0241   8345445  38737136  15628294
  15.43261  15.43359    0.0241   8341545  38736336  15625294
  15.43206  15.43306    0.0241   8328015  38685736  15606094
  15.43150  15.43251    0.0241   8316345  38633436  15588994
  15.43094  15.43194    0.0241   8307705  38599136  15578194
  15.43039  15.43136    0.0241   8282305  38479036  15530294
  15.42983  15.43078    0.0241   8261075  38383236  15493694
  15.42928  15.43021    0.0241   8226175  38236536  15432394
  15.42872  15.42965    0.0241   8204735  38131836  15394894
  15.42817  15.42909    0.0241   8177035  38013636  15344694
  15.42761  15.42854    0.0241   8170075  37980036  15334994
  15.42706  15.42799    0.0241   8171825  37989736  15338194
  15.42650  15.42744    0.0241   8171645  38005636  15346994
  15.42594  15.42688    0.0241   8209575  38177536  15421394
  15.42539  15.42631    0.0241   8250155  38361136  15495094
  15.42483  15.42574    0.0241   8293335  38566636  15580094
  15.42428  15.42517    0.0241   8312605  38666936  15617994
  15.42372  15.42462    0.0241   8339725  38799536  15675694
  15.42317  15.42408    0.0241   8352505  38860236  15699894
  15.42261  15.42355    0.0241   8357605  38884736  15712994
  15.42206  15.42302    0.0241   8359025  38888736  15718094
  15.42150  15.42247    0.0241   8365215  38933036  15735294
  15.42094  15.42189    0.0241   8371365  38957736  15751494
  15.42039  15.42132    0.0241   8367815  38948336  15744494
  15.41983  15.42074    0.0241   8371775  38976636  15759294
  15.41928  15.42018    0.0241   8367575  38957936  15750894
  15.41872  15.41963    0.0241   8372565  38988436  15764394
  15.41817  15.41907    0.0241   8365975  38970436  15761694
  15.41761  15.41852    0.0241   8368395  38973236  15763794
  15.41706  15.41797    0.0241   8364665  38966136  15759194
  15.41650  15.41742    0.0241   8359655  38950736  15755994
  15.41594  15.41687    0.0241   8358785  38947936  15758294
  15.41539  15.41630    0.0241   8353825  38935736  15752394
  15.41483  15.41574    0.0241   8350235  38916536  15746194
  15.41428  15.41517    0.0241   8346385  38910836  15746694
  15.41372  15.41462    0.0241   8345285  38909136  15745594
  15.41317  15.41409    0.0241   8339055  38872636  15730994
  15.41261  15.41356    0.0241   8338635  38876536  15738494
  15.41206  15.41303    0.0241   8336685  38869736  15734994
  15.41150  15.41248    0.0241   8328165  38828836  15720494
  15.41094  15.41191    0.0241   8325545  38813136  15714894
  15.41039  15.41133    0.0241   8311555  38766036  15697694
  15.40983  15.41077    0.0241   8310025  38753636  15695494
  15.40928  15.41020    0.0241   8297385  38705836  15675494
  15.40872  15.40965    0.0241   8285985  38650136  15654594
  15.40817  15.40910    0.0241   8279315  38624936  15646694
  15.40761  15.40855    0.0241   8268365  38574636  15628094
  15.40706  15.40800    0.0241   8261225  38553836  15618694
  15.40650  15.40745    0.0241   8257095  38523436  15612794
  15.40594  15.40690    0.0241   8260695  38549936  15622794
  15.40539  15.40634    0.0241   8266195  38579836  15636394
  15.40483  15.40577    0.0241   8288325  38683236  15680094
  15.40428  15.40520    0.0241   8297875  38745036  15705994
  15.40372  15.40465    0.0241   8312195  38809036  15732694
  15.40317  15.40411    0.0241   8323265  38872336  15757794
  15.40261  15.40357    0.0241   8320715  38862836  15755994
  15.40206  15.40304    0.0241   8332435  38922936  15783294
  15.40150  15.40248    0.0241   8330485  38920636  15784094
  15.40094  15.40191    0.0241   8333165  38937036  15792194
  15.40039  15.40133    0.0241   8330185  38932036  15788394
  15.39983  15.40075    0.0241   8328805  38918336  15789294
  15.39928  15.40019    0.0241   8324305  38906636  15780594
  15.39872  15.39963    0.0241   8309915  38845936  15761994
  15.39817  15.39907    0.0241   8287065  38747736  15722394
  15.39761  15.39851    0.0241   8274195  38678636  15696694
  15.39706  15.39796    0.0241   8254895  38599436  15665494
  15.39650  15.39741    0.0241   8239525  38532336  15639194
  15.39594  15.39686    0.0241   8236685  38518236  15636894
  15.39539  15.39629    0.0241   8229605  38497536  15632294
  15.39483  15.39572    0.0241   8243195  38556036  15652594
  15.39428  15.39515    0.0241   8252765  38612036  15678994
  15.39372  15.39460    0.0241   8260885  38653836  15696894
  15.39317  15.39406    0.0241   8281215  38755236  15738894
  15.39261  15.39353    0.0241   8287855  38792636  15756794
  15.39206  15.39300    0.0241   8305245  38878636  15789094
  15.39150  15.39245    0.0241   8309945  38899936  15801794
  15.39094  15.39188    0.0241   8315185  38926036  15815694
  15.39039  15.39130    0.0241   8313245  38922736  15813194
  15.38983  15.39073    0.0241   8307885  38899336  15805094
  15.38928  15.39017    0.0241   8301655  38873136  15796394
  15.38872  15.38961    0.0241   8294735  38846636  15786894
  15.38817  15.38906    0.0241   8287855  38818936  15778294
  15.38761  15.38851    0.0241   8273665  38758036  15756694
  15.38706  15.38796    0.0241   8273935  38755836  15757394
  15.38650  15.38742    0.0241   8264695  38725036  15743694
  15.38594  15.38687    0.0241   8264655  38717036  15745494
  15.38539  15.38630    0.0241   8263095  38720136  15746694
  15.38483  15.38574    0.0241   8266715  38750836  15757994
  15.38428  15.38517    0.0241   8295695  38879536  15811994
  15.38372  15.38462    0.0241   8308425  38949236  15842294
  15.38317  15.38409    0.0241   8324875  39032936  15873794
  15.38261  15.38356    0.0241   8334525  39079236  15898794
  15.38206  15.38303    0.0241   8346105  39141836  15925194
  15.38150  15.38248    0.0241   8351435  39173136  15942194
  15.38094  15.38192    0.0241   8356255  39201036  15951394
  15.38039  15.38134    0.0241   8359565  39220936  15962794
  15.37983  15.38077    0.0241   8360105  39226936  15965794
  15.37928  15.38021    0.0241   8367515  39271536  15982994
  15.37872  15.37966    0.0241   8363945  39262236  15984094
  15.37817  15.37910    0.0241   8369535  39280536  15991694
  15.37761  15.37855    0.0241   8367885  39275136  15989794
  15.37706  15.37800    0.0241   8366575  39277836  15991594
  15.37650  15.37745    0.0241   8364545  39276136  15996394
  15.37594  15.37689    0.0241   8362505  39274536  15996794
  15.37539  15.37632    0.0241   8358985  39250336  15990894
  15.37483  15.37575    0.0241   8355905  39247936  15990094
  15.37428  15.37518    0.0241   8355435  39251236  15988194
  15.37372  15.37463    0.0241   8348845  39228236  15979294
  15.37317  15.37408    0.0241   8348765  39224536  15983394
  15.37261  15.37356    0.0241   8342085  39202636  15974794
