   9809     AichiSR  BL5S1
 Co3O4           22.08.30 11:33 - 22.08.30 11:35
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 14.93635 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4509
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        7410.46   8810.46        0.31       0.02      4511
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4504.800  8764.000  8106.300
  15.47317  15.47408    0.0241   8451855  18354436   5096104
  15.47261  15.47355    0.0241   8451855  18354436   5096104
  15.47206  15.47303    0.0241   8449895  18353136   5096894
  15.47150  15.47248    0.0241   8446225  18350036   5094724
  15.47094  15.47191    0.0241   8437415  18336236   5093014
  15.47039  15.47133    0.0241   8430555  18330336   5091704
  15.46983  15.47076    0.0241   8426565  18319936   5088984
  15.46928  15.47020    0.0241   8417165  18305936   5083534
  15.46872  15.46965    0.0241   8407655  18285836   5081604
  15.46817  15.46910    0.0241   8400345  18269736   5077384
  15.46761  15.46854    0.0241   8391955  18261236   5074924
  15.46706  15.46800    0.0241   8381135  18238336   5067424
  15.46650  15.46745    0.0241   8384935  18245836   5073584
  15.46594  15.46690    0.0241   8378525  18236436   5068994
  15.46539  15.46634    0.0241   8383225  18251636   5075524
  15.46483  15.46577    0.0241   8399295  18294036   5086934
  15.46428  15.46521    0.0241   8420705  18338036   5100844
  15.46372  15.46466    0.0241   8429925  18363936   5108414
  15.46317  15.46412    0.0241   8440625  18391836   5115694
  15.46261  15.46359    0.0241   8440925  18400936   5119534
  15.46206  15.46307    0.0241   8454205  18423936   5126474
  15.46150  15.46252    0.0241   8454275  18431736   5127734
  15.46094  15.46195    0.0241   8456475  18440236   5132774
  15.46039  15.46137    0.0241   8455775  18438236   5134784
  15.45983  15.46080    0.0241   8463715  18456936   5138854
  15.45928  15.46024    0.0241   8461215  18457736   5139894
  15.45872  15.45968    0.0241   8460805  18459236   5139634
  15.45817  15.45912    0.0241   8458085  18456836   5141394
  15.45761  15.45856    0.0241   8460325  18465236   5144264
  15.45706  15.45801    0.0241   8458685  18463436   5144634
  15.45650  15.45746    0.0241   8452975  18455936   5143444
  15.45594  15.45690    0.0241   8447265  18452336   5142584
  15.45539  15.45634    0.0241   8449875  18456936   5143554
  15.45483  15.45576    0.0241   8444205  18452736   5143404
  15.45428  15.45520    0.0241   8438575  18438136   5141164
  15.45372  15.45464    0.0241   8439625  18443036   5143964
  15.45317  15.45410    0.0241   8439395  18445636   5143774
  15.45261  15.45357    0.0241   8437565  18445236   5145564
  15.45206  15.45304    0.0241   8430145  18435336   5141984
  15.45150  15.45249    0.0241   8433575  18448036   5144674
  15.45094  15.45192    0.0241   8431335  18439836   5144784
  15.45039  15.45134    0.0241   8418885  18423736   5142954
  15.44983  15.45077    0.0241   8418325  18418936   5140574
  15.44928  15.45020    0.0241   8414625  18423836   5142364
  15.44872  15.44964    0.0241   8407245  18398336   5137134
  15.44817  15.44909    0.0241   8397995  18383436   5133224
  15.44761  15.44854    0.0241   8388375  18371636   5130684
  15.44706  15.44799    0.0241   8385835  18366336   5128784
  15.44650  15.44744    0.0241   8375655  18348636   5126134
  15.44594  15.44689    0.0241   8371285  18340736   5123334
  15.44539  15.44632    0.0241   8372855  18348736   5126844
  15.44483  15.44576    0.0241   8373045  18350136   5127664
  15.44428  15.44519    0.0241   8391165  18390836   5138964
  15.44372  15.44464    0.0241   8407285  18433136   5151614
  15.44317  15.44410    0.0241   8419445  18462636   5161274
  15.44261  15.44358    0.0241   8435895  18498836   5169734
  15.44206  15.44305    0.0241   8439955  18512136   5177194
  15.44150  15.44250    0.0241   8442495  18521836   5180034
  15.44094  15.44193    0.0241   8453045  18548536   5187264
  15.44039  15.44135    0.0241   8450755  18548436   5188954
  15.43983  15.44078    0.0241   8456895  18567036   5193204
  15.43928  15.44022    0.0241   8460245  18570036   5195064
  15.43872  15.43966    0.0241   8460695  18580036   5198834
  15.43817  15.43911    0.0241   8459235  18575436   5200664
  15.43761  15.43856    0.0241   8459535  18582936   5202974
  15.43706  15.43801    0.0241   8457675  18587836   5203304
  15.43650  15.43747    0.0241   8460615  18590336   5204464
  15.43594  15.43692    0.0241   8452455  18580136   5201964
  15.43539  15.43635    0.0241   8448195  18572036   5202414
  15.43483  15.43578    0.0241   8449655  18578736   5204914
  15.43428  15.43522    0.0241   8443535  18568536   5201514
  15.43372  15.43467    0.0241   8436415  18558936   5198194
  15.43317  15.43413    0.0241   8431865  18550236   5197904
  15.43261  15.43360    0.0241   8426975  18550236   5198794
  15.43206  15.43307    0.0241   8424665  18542236   5197224
  15.43150  15.43252    0.0241   8415225  18528636   5193834
  15.43094  15.43195    0.0241   8402435  18502536   5186334
  15.43039  15.43136    0.0241   8394305  18485636   5184214
  15.42983  15.43079    0.0241   8366695  18435436   5166904
  15.42928  15.43022    0.0241   8343645  18382836   5155374
  15.42872  15.42966    0.0241   8317945  18325436   5141094
  15.42817  15.42911    0.0241   8298185  18286836   5130204
  15.42761  15.42855    0.0241   8278715  18246636   5118074
  15.42706  15.42800    0.0241   8272365  18237436   5114344
  15.42650  15.42745    0.0241   8265545  18224236   5114684
  15.42594  15.42689    0.0241   8272965  18246036   5120394
  15.42539  15.42632    0.0241   8289525  18284336   5132814
  15.42483  15.42575    0.0241   8314105  18342236   5150794
  15.42428  15.42518    0.0241   8327575  18377536   5159784
  15.42372  15.42463    0.0241   8356595  18443036   5178574
  15.42317  15.42409    0.0241   8378525  18495936   5193834
  15.42261  15.42356    0.0241   8401945  18554736   5210804
  15.42206  15.42303    0.0241   8409445  18572836   5215914
  15.42150  15.42247    0.0241   8416715  18593036   5225424
  15.42094  15.42190    0.0241   8427345  18617336   5230164
  15.42039  15.42133    0.0241   8433955  18634636   5236724
  15.41983  15.42075    0.0241   8437275  18644336   5239864
  15.41928  15.42019    0.0241   8442865  18660736   5244934
  15.41872  15.41963    0.0241   8441295  18660736   5246094
  15.41817  15.41908    0.0241   8444995  18675636   5251944
  15.41761  15.41853    0.0241   8447225  18685336   5255454
  15.41706  15.41798    0.0241   8444175  18675836   5254484
  15.41650  15.41743    0.0241   8445175  18690936   5257314
  15.41594  15.41688    0.0241   8442115  18682036   5255114
  15.41539  15.41632    0.0241   8441375  18683136   5256834
  15.41483  15.41575    0.0241   8435555  18672636   5254524
  15.41428  15.41519    0.0241   8432605  18671136   5255864
  15.41372  15.41464    0.0241   8429255  18661736   5255454
  15.41317  15.41410    0.0241   8423805  18660536   5253174
  15.41261  15.41357    0.0241   8417315  18648836   5250454
  15.41206  15.41304    0.0241   8416795  18646336   5251124
  15.41150  15.41249    0.0241   8414775  18646636   5252734
  15.41094  15.41192    0.0241   8404145  18632736   5249704
  15.41039  15.41135    0.0241   8402615  18627236   5245904
  15.40983  15.41078    0.0241   8402955  18623736   5248444
  15.40928  15.41022    0.0241   8394335  18614736   5244594
  15.40872  15.40966    0.0241   8387405  18596336   5241314
  15.40817  15.40911    0.0241   8379685  18587636   5239004
  15.40761  15.40856    0.0241   8372105  18573136   5235314
  15.40706  15.40801    0.0241   8368955  18566236   5234234
  15.40650  15.40746    0.0241   8342345  18518436   5223714
  15.40594  15.40691    0.0241   8342975  18519036   5224304
  15.40539  15.40635    0.0241   8332015  18498436   5217704
  15.40483  15.40578    0.0241   8322425  18481036   5214274
  15.40428  15.40521    0.0241   8319185  18481136   5213934
  15.40372  15.40465    0.0241   8315075  18468936   5211254
  15.40317  15.40411    0.0241   8321265  18489436   5217074
  15.40261  15.40358    0.0241   8339025  18535236   5231434
  15.40206  15.40304    0.0241   8353085  18568136   5241504
  15.40150  15.40249    0.0241   8365355  18597336   5250974
  15.40094  15.40192    0.0241   8369165  18610836   5254114
  15.40039  15.40133    0.0241   8375615  18632736   5259814
  15.39983  15.40076    0.0241   8378035  18632736   5261644
  15.39928  15.40020    0.0241   8367965  18619736   5258924
  15.39872  15.39964    0.0241   8360735  18604636   5257314
  15.39817  15.39908    0.0241   8346635  18583136   5248104
  15.39761  15.39852    0.0241   8331225  18542336   5240014
  15.39706  15.39797    0.0241   8313885  18508436   5231244
  15.39650  15.39742    0.0241   8300675  18482536   5223564
  15.39594  15.39686    0.0241   8299825  18483636   5224684
  15.39539  15.39630    0.0241   8301125  18489936   5227064
  15.39483  15.39573    0.0241   8304075  18505836   5231614
  15.39428  15.39516    0.0241   8323205  18548236   5243294
  15.39372  15.39460    0.0241   8329845  18564736   5251464
  15.39317  15.39406    0.0241   8344245  18598036   5260894
  15.39261  15.39354    0.0241   8352565  18623836   5269514
  15.39206  15.39300    0.0241   8365545  18659836   5280894
  15.39150  15.39245    0.0241   8372295  18675736   5285294
  15.39094  15.39188    0.0241   8377215  18694436   5289284
  15.39039  15.39130    0.0241   8373825  18688336   5290554
  15.38983  15.39073    0.0241   8380355  18702836   5293754
  15.38928  15.39017    0.0241   8372705  18689436   5289204
  15.38872  15.38962    0.0241   8372515  18691136   5291704
  15.38817  15.38907    0.0241   8363305  18676936   5289024
  15.38761  15.38851    0.0241   8361105  18677236   5289764
  15.38706  15.38797    0.0241   8357185  18667836   5287194
  15.38650  15.38742    0.0241   8346965  18651136   5284024
  15.38594  15.38687    0.0241   8341415  18638036   5281074
  15.38539  15.38630    0.0241   8331895  18619736   5274924
  15.38483  15.38574    0.0241   8328315  18616336   5275934
  15.38428  15.38518    0.0241   8319475  18600636   5272084
  15.38372  15.38463    0.0241   8317765  18598536   5272014
  15.38317  15.38409    0.0241   8314895  18596936   5275144
  15.38261  15.38357    0.0241   8321645  18613536   5277344
  15.38206  15.38304    0.0241   8337605  18651436   5289994
  15.38150  15.38249    0.0241   8360065  18707936   5306704
  15.38094  15.38192    0.0241   8369345  18729836   5314944
  15.38039  15.38134    0.0241   8381765  18760536   5322964
  15.37983  15.38078    0.0241   8389155  18779836   5330874
  15.37928  15.38021    0.0241   8395385  18798936   5335754
  15.37872  15.37966    0.0241   8400305  18810336   5339524
  15.37817  15.37911    0.0241   8405975  18829536   5345274
  15.37761  15.37855    0.0241   8405865  18830436   5347174
  15.37706  15.37800    0.0241   8410485  18846836   5351904
  15.37650  15.37745    0.0241   8409485  18854236   5353924
  15.37594  15.37690    0.0241   8408695  18849136   5354184
  15.37539  15.37633    0.0241   8411165  18866136   5358364
  15.37483  15.37575    0.0241   8413845  18866336   5359144
  15.37428  15.37519    0.0241   8407445  18859836   5358894
  15.37372  15.37463    0.0241   8404935  18858036   5360004
  15.37317  15.37409    0.0241   8406125  18859636   5360264
  15.37261  15.37356    0.0241   8399935  18853236   5358544
