   9809     AichiSR  BL5S1
 CoO             22.08.30 11:28 - 22.08.30 11:30
                                                                                 
 Ring :   1.2 GeV   300.0 mA -  300.1 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 14.93677 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4509
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        7410.46   8810.46        0.31       0.02      4511
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4504.800  8764.000  8106.300
  15.47317  15.47410    0.0241   8470435  19254636   5343134
  15.47261  15.47358    0.0241   8470435  19254636   5343134
  15.47206  15.47305    0.0241   8471815  19259236   5345634
  15.47150  15.47250    0.0241   8473835  19262636   5347874
  15.47094  15.47193    0.0241   8469055  19264136   5349594
  15.47039  15.47135    0.0241   8468715  19270736   5351984
  15.46983  15.47079    0.0241   8465465  19260636   5349364
  15.46928  15.47023    0.0241   8469645  19269836   5353734
  15.46872  15.46967    0.0241   8462515  19262936   5349484
  15.46817  15.46912    0.0241   8457245  19255736   5349854
  15.46761  15.46856    0.0241   8452265  19245036   5349654
  15.46706  15.46802    0.0241   8451425  19249036   5347164
  15.46650  15.46747    0.0241   8450115  19248536   5349404
  15.46594  15.46692    0.0241   8438235  19231436   5343844
  15.46539  15.46636    0.0241   8438125  19227136   5344664
  15.46483  15.46579    0.0241   8437305  19227036   5347834
  15.46428  15.46523    0.0241   8435105  19227436   5346194
  15.46372  15.46468    0.0241   8425125  19207136   5342384
  15.46317  15.46414    0.0241   8426475  19206736   5342384
  15.46261  15.46362    0.0241   8415975  19192336   5339994
  15.46206  15.46309    0.0241   8411425  19183136   5339024
  15.46150  15.46254    0.0241   8398255  19159236   5332324
  15.46094  15.46197    0.0241   8393645  19149436   5329084
  15.46039  15.46140    0.0241   8383485  19133136   5324754
  15.45983  15.46082    0.0241   8373475  19111336   5317624
  15.45928  15.46026    0.0241   8361785  19086736   5313844
  15.45872  15.45970    0.0241   8349425  19057836   5305704
  15.45817  15.45914    0.0241   8355065  19071636   5313514
  15.45761  15.45858    0.0241   8357265  19090236   5317214
  15.45706  15.45803    0.0241   8363985  19102336   5321614
  15.45650  15.45748    0.0241   8381355  19148636   5335254
  15.45594  15.45692    0.0241   8400365  19193836   5348394
  15.45539  15.45635    0.0241   8409835  19224436   5358204
  15.45483  15.45578    0.0241   8424265  19261536   5367374
  15.45428  15.45522    0.0241   8433945  19282436   5375514
  15.45372  15.45466    0.0241   8438685  19295936   5379214
  15.45317  15.45412    0.0241   8440925  19304836   5383244
  15.45261  15.45359    0.0241   8449925  19328436   5390454
  15.45206  15.45306    0.0241   8452055  19334136   5391494
  15.45150  15.45251    0.0241   8455945  19347236   5395574
  15.45094  15.45194    0.0241   8455825  19351336   5397964
  15.45039  15.45136    0.0241   8460575  19369236   5403974
  15.44983  15.45079    0.0241   8460075  19371636   5407244
  15.44928  15.45022    0.0241   8456805  19371236   5407144
  15.44872  15.44967    0.0241   8457285  19371436   5406884
  15.44817  15.44911    0.0241   8459715  19380736   5409244
  15.44761  15.44856    0.0241   8453585  19370136   5408974
  15.44706  15.44801    0.0241   8450635  19369336   5407704
  15.44650  15.44746    0.0241   8447235  19359136   5407294
  15.44594  15.44691    0.0241   8445115  19364736   5406994
  15.44539  15.44634    0.0241   8444255  19364136   5409874
  15.44483  15.44578    0.0241   8438985  19354836   5407554
  15.44428  15.44521    0.0241   8439205  19357036   5408714
  15.44372  15.44466    0.0241   8433535  19351836   5408004
  15.44317  15.44412    0.0241   8427835  19341736   5404214
  15.44261  15.44360    0.0241   8430955  19343836   5407144
  15.44206  15.44307    0.0241   8423635  19337936   5405694
  15.44150  15.44252    0.0241   8412805  19311336   5399304
  15.44094  15.44195    0.0241   8406645  19305636   5396984
  15.44039  15.44137    0.0241   8402155  19292436   5397404
  15.43983  15.44080    0.0241   8394535  19282236   5393624
  15.43928  15.44024    0.0241   8380575  19249536   5386384
  15.43872  15.43968    0.0241   8371235  19236736   5380814
  15.43817  15.43913    0.0241   8366755  19225936   5380104
  15.43761  15.43858    0.0241   8351835  19196736   5370534
  15.43706  15.43803    0.0241   8363725  19228736   5381264
  15.43650  15.43749    0.0241   8364885  19230936   5383764
  15.43594  15.43693    0.0241   8383405  19277336   5397324
  15.43539  15.43637    0.0241   8400065  19323436   5409914
  15.43483  15.43580    0.0241   8415045  19357036   5421084
  15.43428  15.43524    0.0241   8418475  19377536   5426384
  15.43372  15.43469    0.0241   8431625  19407136   5435534
  15.43317  15.43415    0.0241   8438765  19423936   5441994
  15.43261  15.43362    0.0241   8438945  19433436   5444614
  15.43206  15.43309    0.0241   8435215  19431336   5445434
  15.43150  15.43254    0.0241   8438335  19439336   5447884
  15.43094  15.43197    0.0241   8431775  19428936   5445284
  15.43039  15.43139    0.0241   8427405  19416536   5440684
  15.42983  15.43081    0.0241   8403205  19362736   5430084
  15.42928  15.43025    0.0241   8385835  19326436   5419584
  15.42872  15.42968    0.0241   8362645  19280736   5406364
  15.42817  15.42913    0.0241   8351545  19254636   5399674
  15.42761  15.42857    0.0241   8340195  19232036   5395424
  15.42706  15.42802    0.0241   8335635  19228736   5392694
  15.42650  15.42747    0.0241   8336575  19231436   5396314
  15.42594  15.42691    0.0241   8350955  19270236   5407334
  15.42539  15.42635    0.0241   8370625  19323636   5423004
  15.42483  15.42577    0.0241   8389725  19360836   5436014
  15.42428  15.42520    0.0241   8407725  19411736   5449274
  15.42372  15.42465    0.0241   8415605  19434136   5455924
  15.42317  15.42411    0.0241   8420685  19452836   5461044
  15.42261  15.42358    0.0241   8418555  19450336   5463844
  15.42206  15.42305    0.0241   8416645  19445736   5461154
  15.42150  15.42250    0.0241   8414255  19441536   5460444
  15.42094  15.42193    0.0241   8410485  19435536   5460934
  15.42039  15.42135    0.0241   8401375  19416336   5457194
  15.41983  15.42077    0.0241   8395645  19409236   5454934
  15.41928  15.42021    0.0241   8385725  19393636   5450214
  15.41872  15.41966    0.0241   8379415  19374036   5445764
  15.41817  15.41910    0.0241   8369105  19355036   5441584
  15.41761  15.41855    0.0241   8361895  19345136   5439154
  15.41706  15.41800    0.0241   8341725  19297436   5426904
  15.41650  15.41746    0.0241   8355095  19334036   5440354
  15.41594  15.41690    0.0241   8356405  19343336   5439974
  15.41539  15.41634    0.0241   8364245  19367036   5448984
  15.41483  15.41577    0.0241   8384905  19422336   5464254
  15.41428  15.41521    0.0241   8395215  19445436   5471354
  15.41372  15.41466    0.0241   8411815  19484336   5483514
  15.41317  15.41412    0.0241   8418515  19505836   5489244
  15.41261  15.41359    0.0241   8425205  19527036   5497164
  15.41206  15.41306    0.0241   8428975  19535736   5499854
  15.41150  15.41251    0.0241   8431775  19542936   5502914
  15.41094  15.41195    0.0241   8433045  19553336   5508324
  15.41039  15.41137    0.0241   8438645  19568336   5511394
  15.40983  15.41080    0.0241   8436895  19564336   5511954
  15.40928  15.41024    0.0241   8436105  19568736   5510754
  15.40872  15.40968    0.0241   8434205  19567536   5513554
  15.40817  15.40913    0.0241   8431585  19568836   5513184
  15.40761  15.40858    0.0241   8427395  19566136   5514694
  15.40706  15.40803    0.0241   8422255  19559036   5513404
  15.40650  15.40748    0.0241   8422665  19558136   5512694
  15.40594  15.40693    0.0241   8417395  19550536   5512064
  15.40539  15.40637    0.0241   8409105  19531436   5506904
  15.40483  15.40580    0.0241   8402605  19520536   5505784
  15.40428  15.40523    0.0241   8405515  19527236   5507504
  15.40372  15.40467    0.0241   8397525  19514536   5505044
  15.40317  15.40413    0.0241   8390135  19501636   5503064
  15.40261  15.40360    0.0241   8383485  19489736   5499104
  15.40206  15.40307    0.0241   8384495  19503436   5503214
  15.40150  15.40251    0.0241   8377865  19483336   5499124
  15.40094  15.40194    0.0241   8367645  19465836   5496604
  15.40039  15.40136    0.0241   8361785  19451436   5491704
  15.39983  15.40078    0.0241   8352965  19438536   5489284
  15.39928  15.40022    0.0241   8332655  19394436   5477734
  15.39872  15.39966    0.0241   8316855  19357636   5466314
  15.39817  15.39910    0.0241   8288125  19291036   5450324
  15.39761  15.39854    0.0241   8262475  19233336   5435274
  15.39706  15.39799    0.0241   8232475  19171436   5418504
  15.39650  15.39744    0.0241   8212535  19125436   5404834
  15.39594  15.39689    0.0241   8196765  19095236   5396604
  15.39539  15.39632    0.0241   8212235  19134836   5407934
  15.39483  15.39575    0.0241   8228515  19178736   5421494
  15.39428  15.39518    0.0241   8257805  19251936   5441694
  15.39372  15.39463    0.0241   8289255  19327836   5465604
  15.39317  15.39409    0.0241   8320965  19398636   5486034
  15.39261  15.39356    0.0241   8347925  19472836   5505824
  15.39206  15.39303    0.0241   8365105  19517236   5519794
  15.39150  15.39247    0.0241   8384525  19565336   5535074
  15.39094  15.39190    0.0241   8392825  19593436   5542094
  15.39039  15.39133    0.0241   8401525  19611636   5551244
  15.38983  15.39076    0.0241   8402255  19612336   5550474
  15.38928  15.39020    0.0241   8409105  19633336   5557664
  15.38872  15.38964    0.0241   8411015  19642136   5560654
  15.38817  15.38909    0.0241   8408695  19642536   5560654
  15.38761  15.38854    0.0241   8410265  19647936   5563564
  15.38706  15.38799    0.0241   8409215  19649936   5564724
  15.38650  15.38744    0.0241   8410185  19659036   5568014
  15.38594  15.38689    0.0241   8405105  19645036   5564394
  15.38539  15.38633    0.0241   8406455  19655536   5568384
  15.38483  15.38576    0.0241   8401375  19650236   5567494
  15.38428  15.38520    0.0241   8401265  19651336   5568874
  15.38372  15.38465    0.0241   8394115  19637636   5567054
  15.38317  15.38411    0.0241   8401035  19654936   5570214
  15.38261  15.38359    0.0241   8396405  19639936   5567454
  15.38206  15.38306    0.0241   8390805  19639836   5569954
  15.38150  15.38251    0.0241   8388455  19640836   5569434
  15.38094  15.38194    0.0241   8388415  19637636   5570514
  15.38039  15.38137    0.0241   8382325  19628336   5567784
  15.37983  15.38080    0.0241   8379975  19626536   5567524
  15.37928  15.38024    0.0241   8375195  19621336   5567414
  15.37872  15.37968    0.0241   8365105  19601636   5560134
  15.37817  15.37913    0.0241   8357265  19584236   5557334
  15.37761  15.37857    0.0241   8350155  19570436   5554284
  15.37706  15.37802    0.0241   8343515  19556536   5552884
  15.37650  15.37748    0.0241   8330035  19530036   5544594
  15.37594  15.37692    0.0241   8322905  19513036   5541644
  15.37539  15.37635    0.0241   8321705  19514436   5543694
  15.37483  15.37578    0.0241   8316925  19512036   5542954
  15.37428  15.37521    0.0241   8316405  19511636   5543664
  15.37372  15.37465    0.0241   8333955  19564736   5559014
  15.37317  15.37411    0.0241   8347925  19595636   5568054
  15.37261  15.37358    0.0241   8368435  19645636   5584524
