   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.15936  13.15967    0.0034  30434879  71212349      -548
  13.15894  13.15926    0.0034  30434879  71212349      -548
  13.15853  13.15887    0.0034  30439379  71217949     -1614
  13.15811  13.15848    0.0034  30435079  71227749      -281
  13.15769  13.15809    0.0034  30423679  71252349     -1348
  13.15728  13.15768    0.0034  30427879  71237949      -814
  13.15686  13.15727    0.0034  30424179  71233649      -814
  13.15644  13.15684    0.0034  30416179  71246749     -1081
  13.15603  13.15640    0.0034  30420479  71236849      -548
  13.15561  13.15597    0.0034  30423079  71264549     -1081
  13.15519  13.15555    0.0034  30420679  71252049      -281
  13.15478  13.15513    0.0034  30417279  71240549     -1348
  13.15436  13.15472    0.0034  30411879  71262449       -14
  13.15394  13.15431    0.0034  30417779  71277649     -1081
  13.15353  13.15390    0.0034  30412979  71261649      -548
  13.15311  13.15349    0.0034  30407079  71286749      -814
  13.15269  13.15308    0.0034  30403079  71261349      -814
  13.15228  13.15267    0.0034  30412579  71311349      -546
  13.15186  13.15226    0.0034  30396679  71273149     -1348
  13.15144  13.15185    0.0034  30389779  71254949      -548
  13.15103  13.15142    0.0034  30387379  71261649     -1348
  13.15061  13.15099    0.0034  30398579  71298149      -281
  13.15019  13.15056    0.0034  30394279  71298449     -1614
  13.14978  13.15013    0.0034  30387879  71285949      -548
  13.14936  13.14971    0.0034  30388479  71301949     -1081
  13.14894  13.14930    0.0034  30391379  71325349      -814
  13.14853  13.14891    0.0034  30381479  71311549     -1348
  13.14811  13.14852    0.0034  30386879  71328849     -1081
  13.14769  13.14812    0.0034  30373479  71306149     -1081
  13.14728  13.14772    0.0034  30380479  71316049     -1614
  13.14686  13.14730    0.0034  30373279  71340349      -814
  13.14644  13.14687    0.0034  30384179  71340349     -1881
  13.14603  13.14644    0.0034  30354879  71325149      -281
  13.14561  13.14600    0.0034  30363979  71342549     -1880
  13.14519  13.14558    0.0034  30352979  71346449      -814
  13.14478  13.14516    0.0034  30381279  71367749     -1348
  13.14436  13.14474    0.0034  30362079  71351749     -1348
  13.14394  13.14433    0.0034  30357479  71341349      -814
  13.14353  13.14392    0.0034  30361279  71341349     -1348
  13.14311  13.14350    0.0034  30360179  71374749      -548
  13.14269  13.14309    0.0034  30352479  71392549     -1614
  13.14228  13.14268    0.0034  30350079  71377149      -548
  13.14186  13.14227    0.0034  30338279  71344349     -1081
  13.14144  13.14185    0.0034  30350879  71366749      -281
  13.14103  13.14143    0.0034  30350079  71380349     -1081
  13.14061  13.14099    0.0034  30352179  71397349      -548
  13.14019  13.14055    0.0034  30334079  71370949      -548
  13.13978  13.14012    0.0034  30340979  71384349      -814
  13.13936  13.13970    0.0034  30335079  71390449      -548
  13.13894  13.13930    0.0034  30349379  71416949     -1346
  13.13853  13.13890    0.0034  30326079  71394949       -14
  13.13811  13.13851    0.0034  30328679  71398149     -1348
  13.13769  13.13812    0.0034  30341779  71403749      -281
  13.13728  13.13771    0.0034  30324479  71414449     -1081
  13.13686  13.13729    0.0034  30323379  71444849      -548
  13.13644  13.13686    0.0034  30321279  71425349      -814
  13.13603  13.13643    0.0034  30309279  71396349      -548
  13.13561  13.13600    0.0034  30319679  71441949      -548
  13.13519  13.13557    0.0034  30318079  71433949     -1081
  13.13478  13.13516    0.0034  30316179  71429149      -281
  13.13436  13.13474    0.0034  30307379  71417649     -1614
  13.13394  13.13433    0.0034  30308179  71424849      -281
  13.13353  13.13392    0.0034  30295379  71429949     -1614
  13.13311  13.13351    0.0034  30291679  71443749      -548
  13.13269  13.13310    0.0034  30296179  71435249     -1614
  13.13228  13.13269    0.0034  30291179  71443949      -813
  13.13186  13.13228    0.0034  30288179  71431249     -1081
  13.13144  13.13186    0.0034  30297279  71467549     -1614
  13.13103  13.13143    0.0034  30295379  71462949      -814
  13.13061  13.13100    0.0034  30281779  71429349     -1614
  13.13019  13.13056    0.0034  30282079  71457349      -814
  13.12978  13.13013    0.0034  30263379  71462949     -2148
  13.12936  13.12971    0.0034  30276979  71456049      -548
  13.12894  13.12931    0.0034  30272179  71461949     -1348
  13.12853  13.12891    0.0034  30264679  71469149     -1081
  13.12811  13.12852    0.0034  30266279  71468849     -1348
  13.12769  13.12813    0.0034  30275879  71480049     -1348
