   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:39 - 17.10.06 11:39
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.6 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.63989 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.15936  13.15965    0.0034  30411079  43318449       -14
  13.15894  13.15925    0.0034  30411079  43318449       -14
  13.15853  13.15886    0.0034  30415679  43321149     -1614
  13.15811  13.15847    0.0034  30392479  43328349      -548
  13.15769  13.15808    0.0034  30410579  43336849     -1348
  13.15728  13.15767    0.0034  30407379  43354449     -1081
  13.15686  13.15725    0.0034  30403379  43365149     -1081
  13.15644  13.15682    0.0034  30405479  43348549     -1081
  13.15603  13.15639    0.0034  30398579  43374449      -548
  13.15561  13.15596    0.0034  30405479  43387249     -1881
  13.15519  13.15553    0.0034  30405779  43373949      -548
  13.15478  13.15512    0.0034  30393479  43384849     -1881
  13.15436  13.15471    0.0034  30394579  43383249      -814
  13.15394  13.15430    0.0034  30397779  43392549     -1881
  13.15353  13.15389    0.0034  30402879  43398149      -814
  13.15311  13.15348    0.0034  30406879  43420349     -1348
  13.15269  13.15307    0.0034  30399979  43426249     -1346
  13.15228  13.15266    0.0034  30387679  43406149     -1081
  13.15186  13.15226    0.0034  30395379  43430449     -1348
  13.15144  13.15184    0.0034  30399679  43449149      -814
  13.15103  13.15142    0.0034  30387679  43434749     -1881
  13.15061  13.15099    0.0034  30386279  43441949      -548
  13.15019  13.15055    0.0034  30391879  43453949     -1614
  13.14978  13.15011    0.0034  30395679  43461149      -548
  13.14936  13.14969    0.0034  30400479  43476849     -1348
  13.14894  13.14929    0.0034  30384979  43471749     -1081
  13.14853  13.14890    0.0034  30383679  43464549     -1081
  13.14811  13.14851    0.0034  30387379  43484049     -1348
  13.14769  13.14811    0.0034  30387879  43483749      -548
  13.14728  13.14771    0.0034  30395379  43502749     -1348
  13.14686  13.14728    0.0034  30377479  43493649      -548
  13.14644  13.14686    0.0034  30377279  43491549     -1614
  13.14603  13.14642    0.0034  30396779  43534349      -279
  13.14561  13.14599    0.0034  30393479  43526449     -1348
  13.14519  13.14556    0.0034  30382579  43517349      -548
  13.14478  13.14514    0.0034  30382079  43521649     -1081
  13.14436  13.14473    0.0034  30373479  43523749     -1348
  13.14394  13.14432    0.0034  30379679  43549349      -814
  13.14353  13.14391    0.0034  30376679  43538449     -1614
  13.14311  13.14349    0.0034  30368679  43548849      -548
  13.14269  13.14308    0.0034  30367079  43550149     -1881
  13.14228  13.14267    0.0034  30370879  43558749      -814
  13.14186  13.14226    0.0034  30376179  43571549     -1881
  13.14144  13.14184    0.0034  30369279  43572049      -814
  13.14103  13.14142    0.0034  30355879  43577949     -1881
  13.14061  13.14098    0.0034  30352479  43573949     -1081
  13.14019  13.14054    0.0034  30361779  43591249     -1614
  13.13978  13.14011    0.0034  30385779  43604549     -1614
  13.13936  13.13969    0.0034  30378679  43622049     -1346
  13.13894  13.13928    0.0034  30352679  43594149     -2148
  13.13853  13.13889    0.0034  30363379  43613649      -814
  13.13811  13.13850    0.0034  30368479  43631749     -2414
  13.13769  13.13811    0.0034  30357279  43633649      -814
  13.13728  13.13769    0.0034  30354879  43630449     -2148
  13.13686  13.13728    0.0034  30346879  43623549     -1081
  13.13644  13.13685    0.0034  30356679  43649349     -1348
  13.13603  13.13642    0.0034  30358279  43654749     -1348
  13.13561  13.13598    0.0034  30349779  43662149      -814
  13.13519  13.13556    0.0034  30358579  43638449     -1614
  13.13478  13.13514    0.0034  30342579  43656349      -281
  13.13436  13.13473    0.0034  30356979  43678749     -1614
  13.13394  13.13432    0.0034  30350279  43668849      -281
  13.13353  13.13391    0.0034  30338279  43667249     -1348
  13.13311  13.13350    0.0034  30334279  43674149      -548
  13.13269  13.13309    0.0034  30334579  43681949     -1348
  13.13228  13.13267    0.0034  30347779  43705549      -279
  13.13186  13.13226    0.0034  30338279  43696549      -814
  13.13144  13.13185    0.0034  30336179  43696349      -548
  13.13103  13.13142    0.0034  30333279  43703749      -281
  13.13061  13.13099    0.0034  30322079  43699749      -814
  13.13019  13.13055    0.0034  30328679  43707749      -281
  13.12978  13.13012    0.0034  30328479  43705649     -1081
  13.12936  13.12970    0.0034  30315679  43703549      -281
  13.12894  13.12929    0.0034  30324979  43718749     -1081
  13.12853  13.12890    0.0034  30304679  43711549      -281
  13.12811  13.12851    0.0034  30317479  43725949      -814
  13.12769  13.12812    0.0034  30310079  43742449      -548
