   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:36 - 17.10.06 11:36
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64017 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.15936  13.15966    0.0034  30416479  49034949      -814
  13.15894  13.15926    0.0034  30416479  49034949      -814
  13.15853  13.15887    0.0034  30411679  49052549     -1881
  13.15811  13.15848    0.0034  30423079  49058149      -548
  13.15769  13.15808    0.0034  30419379  49038449     -1614
  13.15728  13.15768    0.0034  30402279  49042949     -1081
  13.15686  13.15726    0.0034  30401779  49035249     -1348
  13.15644  13.15683    0.0034  30400479  49063749     -1614
  13.15603  13.15640    0.0034  30408479  49065949      -814
  13.15561  13.15597    0.0034  30394879  49066449     -1881
  13.15519  13.15554    0.0034  30392479  49068349      -548
  13.15478  13.15513    0.0034  30387379  49065649     -1881
  13.15436  13.15472    0.0034  30383679  49079549      -814
  13.15394  13.15431    0.0034  30388479  49073949     -1614
  13.15353  13.15389    0.0034  30384179  49089649     -1081
  13.15311  13.15349    0.0034  30383079  49083549     -1348
  13.15269  13.15308    0.0034  30391179  49098249     -1079
  13.15228  13.15267    0.0034  30387679  49098749     -1081
  13.15186  13.15226    0.0034  30379679  49098949     -1348
  13.15144  13.15184    0.0034  30388179  49109349      -814
  13.15103  13.15142    0.0034  30371079  49116349     -1614
  13.15061  13.15099    0.0034  30372479  49117949      -548
  13.15019  13.15055    0.0034  30361479  49118749     -1881
  13.14978  13.15012    0.0034  30371879  49131549      -548
  13.14936  13.14971    0.0034  30359079  49135549     -1348
  13.14894  13.14930    0.0034  30371879  49134949     -1081
  13.14853  13.14891    0.0034  30365479  49136849     -1081
  13.14811  13.14852    0.0034  30374879  49152849     -1348
  13.14769  13.14812    0.0034  30366579  49144049      -814
  13.14728  13.14771    0.0034  30358879  49157949     -1348
  13.14686  13.14729    0.0034  30355879  49159249      -548
  13.14644  13.14687    0.0034  30356179  49168849     -1348
  13.14603  13.14643    0.0034  30364579  49172849      -813
  13.14561  13.14600    0.0034  30346279  49166749     -1614
  13.14519  13.14557    0.0034  30355079  49171549      -814
  13.14478  13.14515    0.0034  30344479  49179249     -1081
  13.14436  13.14474    0.0034  30336979  49174449     -1081
  13.14394  13.14433    0.0034  30339679  49184349      -814
  13.14353  13.14391    0.0034  30330579  49187749     -1081
  13.14311  13.14350    0.0034  30325279  49186749      -548
  13.14269  13.14309    0.0034  30327079  49198749     -1348
  13.14228  13.14268    0.0034  30329279  49222949      -281
  13.14186  13.14226    0.0034  30326879  49210449     -1614
  13.14144  13.14185    0.0034  30328479  49217949      -281
  13.14103  13.14142    0.0034  30319079  49200349     -1348
  13.14061  13.14099    0.0034  30331079  49224549      -814
  13.14019  13.14055    0.0034  30338279  49222749     -1081
  13.13978  13.14012    0.0034  30330079  49247249     -1081
  13.13936  13.13970    0.0034  30329079  49232149      -813
  13.13894  13.13929    0.0034  30310579  49229949     -1348
  13.13853  13.13890    0.0034  30308679  49252349      -548
  13.13811  13.13850    0.0034  30318079  49266749     -1348
  13.13769  13.13811    0.0034  30303079  49266149      -548
  13.13728  13.13770    0.0034  30306879  49250449     -1081
  13.13686  13.13728    0.0034  30306279  49262449      -548
  13.13644  13.13686    0.0034  30309279  49269349     -1348
  13.13603  13.13642    0.0034  30305779  49266449     -1348
  13.13561  13.13599    0.0034  30287079  49269349      -548
  13.13519  13.13557    0.0034  30296679  49271749     -1348
  13.13478  13.13515    0.0034  30289279  49274449      -548
  13.13436  13.13474    0.0034  30293479  49282149     -1881
  13.13394  13.13433    0.0034  30280979  49283249      -548
  13.13353  13.13391    0.0034  30283079  49281149     -1881
  13.13311  13.13350    0.0034  30287079  49299249     -1081
  13.13269  13.13309    0.0034  30290679  49319049     -1346
  13.13228  13.13268    0.0034  30280679  49302749     -1081
  13.13186  13.13227    0.0034  30266079  49294449     -1081
  13.13144  13.13185    0.0034  30277479  49310949     -1348
  13.13103  13.13143    0.0034  30274079  49325149     -1081
  13.13061  13.13100    0.0034  30272679  49339249     -1614
  13.13019  13.13056    0.0034  30273279  49312349      -814
  13.12978  13.13013    0.0034  30266879  49305349     -1614
  13.12936  13.12971    0.0034  30264179  49335249     -1081
  13.12894  13.12930    0.0034  30260479  49336049     -1614
  13.12853  13.12891    0.0034  30272979  49349649     -1081
  13.12811  13.12852    0.0034  30257779  49344049     -1614
  13.12769  13.12812    0.0034  30249479  49334949     -1348
