   9809     AichiSR  BL5S1
 Fe-foil         22.09.16 11:14 - 22.09.16 11:16
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.9 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23083 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4409.500  9250.000  8122.500
  16.86819  16.86901    0.0235  46169791   7583390   3647918
  16.86756  16.86837    0.0235  46169791   7583390   3647918
  16.86692  16.86774    0.0235  46148191   7581190   3645948
  16.86628  16.86710    0.0235  46105391   7575750   3645508
  16.86564  16.86645    0.0235  46083491   7572970   3643688
  16.86500  16.86580    0.0235  46059991   7570590   3644018
  16.86436  16.86513    0.0235  46035091   7568680   3645358
  16.86372  16.86449    0.0235  46007291   7565980   3646218
  16.86308  16.86386    0.0235  45968891   7560880   3642648
  16.86244  16.86325    0.0235  45949691   7559290   3643458
  16.86181  16.86265    0.0235  45926091   7557670   3645088
  16.86117  16.86202    0.0235  45884291   7552680   3643578
  16.86053  16.86137    0.0235  45868291   7550980   3642528
  16.85989  16.86071    0.0235  45818291   7544370   3640658
  16.85925  16.86006    0.0235  45787691   7541630   3640638
  16.85861  16.85943    0.0235  45761891   7538870   3640698
  16.85797  16.85879    0.0235  45697491   7529250   3635398
  16.85733  16.85815    0.0235  45638691   7522090   3634928
  16.85669  16.85752    0.0235  45585491   7514520   3632828
  16.85606  16.85688    0.0235  45564591   7513090   3632498
  16.85542  16.85624    0.0235  45536791   7510360   3633708
  16.85478  16.85557    0.0235  45470091   7499410   3628638
  16.85414  16.85492    0.0235  45492191   7504970   3631948
  16.85350  16.85429    0.0235  45478691   7504790   3634288
  16.85286  16.85367    0.0235  45515091   7512270   3637678
  16.85222  16.85307    0.0235  45551091   7519800   3644368
  16.85158  16.85245    0.0235  45612191   7530900   3649348
  16.85094  16.85182    0.0235  45669791   7543110   3656518
