   9809     AichiSR  BL5S1
 220623-alpha-F  22.06.23 14:36 - 22.06.23 14:38
                                                                                 
 Ring :   1.2 GeV     0.0 mA -    0.0 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23064 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4431.900  9572.100  8149.900
  16.86819  16.86892    0.0235  15923768   2221648   4224980
  16.86756  16.86827    0.0235  15923768   2221648   4224980
  16.86692  16.86763    0.0235  15942368   2224008   4230820
  16.86628  16.86700    0.0235  15947668   2225508   4234030
  16.86564  16.86635    0.0235  15974968   2229468   4241360
  16.86500  16.86569    0.0235  15964068   2229598   4244160
  16.86436  16.86503    0.0235  15974268   2230858   4245960
  16.86372  16.86439    0.0235  15986068   2232908   4251410
  16.86308  16.86376    0.0235  15983668   2232958   4252110
  16.86244  16.86315    0.0235  15990668   2235318   4257640
  16.86181  16.86255    0.0235  15990268   2235248   4258460
  16.86117  16.86191    0.0235  15994268   2236658   4261270
  16.86053  16.86127    0.0235  15993768   2236468   4262700
  16.85989  16.86061    0.0235  15973968   2234748   4258000
  16.85925  16.85996    0.0235  15993468   2237308   4265440
  16.85861  16.85932    0.0235  15968868   2234748   4260710
  16.85797  16.85868    0.0235  15957068   2234018   4260320
  16.85733  16.85805    0.0235  15958768   2233758   4262200
  16.85669  16.85742    0.0235  15945268   2232948   4260850
  16.85606  16.85678    0.0235  15936568   2232538   4259560
  16.85542  16.85614    0.0235  15918568   2230248   4255020
  16.85478  16.85547    0.0235  15916168   2230958   4257300
  16.85414  16.85483    0.0235  15915768   2231618   4259640
  16.85350  16.85419    0.0235  15883968   2227368   4251760
  16.85286  16.85357    0.0235  15899068   2230088   4258070
  16.85222  16.85297    0.0235  15887768   2228208   4255620
  16.85158  16.85235    0.0235  15876668   2227948   4256430
  16.85094  16.85172    0.0235  15871068   2227608   4255970
