   9809     AichiSR  BL5S1
 220623-gamma-F  22.06.23 14:40 - 22.06.23 14:42
                                                                                 
 Ring :   1.2 GeV     0.0 mA -    0.0 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23048 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4431.900  9572.100  8149.900
  16.86819  16.86898    0.0235  16005768   1830448   3480190
  16.86756  16.86834    0.0235  16005768   1830448   3480190
  16.86692  16.86770    0.0235  15990868   1829878   3479640
  16.86628  16.86706    0.0235  15981068   1828878   3478590
  16.86564  16.86642    0.0235  15981568   1829268   3478800
  16.86500  16.86576    0.0235  15952568   1826358   3474880
  16.86436  16.86510    0.0235  15945568   1826398   3474610
  16.86372  16.86446    0.0235  15937468   1825408   3473330
  16.86308  16.86383    0.0235  15907068   1822388   3469230
  16.86244  16.86322    0.0235  15895168   1822128   3468710
  16.86181  16.86261    0.0235  15876568   1819938   3464750
  16.86117  16.86198    0.0235  15861968   1819028   3462370
  16.86053  16.86133    0.0235  15857768   1818868   3465670
  16.85989  16.86068    0.0235  15832268   1816078   3459860
  16.85925  16.86004    0.0235  15837868   1817768   3463090
  16.85861  16.85940    0.0235  15842968   1817918   3463570
  16.85797  16.85876    0.0235  15850068   1819528   3468900
  16.85733  16.85812    0.0235  15870568   1822728   3474310
  16.85669  16.85749    0.0235  15877868   1823728   3478380
  16.85606  16.85685    0.0235  15894568   1826128   3481910
  16.85542  16.85621    0.0235  15886568   1826058   3483600
  16.85478  16.85554    0.0235  15904968   1828928   3489190
  16.85414  16.85490    0.0235  15925168   1831828   3493990
  16.85350  16.85426    0.0235  15907368   1829428   3491790
  16.85286  16.85364    0.0235  15921768   1831518   3496400
  16.85222  16.85303    0.0235  15932168   1833358   3499740
  16.85158  16.85242    0.0235  15930368   1833968   3502020
  16.85094  16.85179    0.0235  15932668   1834348   3503390
