   9809     AichiSR  BL5S1
 Fe3O4_FeK-edge  22.09.07 10:16 - 22.09.07 10:18
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23079 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4278.400  8873.000  8162.700
  16.86819  16.86891    0.0235  16992822  21496327   4329637
  16.86756  16.86826    0.0235  16992822  21496327   4329637
  16.86692  16.86763    0.0235  16968822  21474927   4323667
  16.86628  16.86698    0.0235  16952222  21453827   4321277
  16.86564  16.86633    0.0235  16920422  21420627   4316637
  16.86500  16.86567    0.0235  16947522  21463027   4324097
  16.86436  16.86502    0.0235  16945122  21461627   4325287
  16.86372  16.86439    0.0235  16962022  21487927   4331387
  16.86308  16.86378    0.0235  16979122  21515727   4338007
  16.86244  16.86317    0.0235  17005922  21548627   4345717
  16.86181  16.86255    0.0235  17014022  21565927   4349817
  16.86117  16.86190    0.0235  17034622  21596827   4357407
  16.86053  16.86125    0.0235  17048622  21622527   4360637
  16.85989  16.86060    0.0235  17048222  21626027   4364537
  16.85925  16.85996    0.0235  17062522  21649827   4370177
  16.85861  16.85933    0.0235  17062422  21656227   4372327
  16.85797  16.85869    0.0235  17067822  21664127   4375607
  16.85733  16.85806    0.0235  17076822  21682127   4379097
  16.85669  16.85742    0.0235  17076822  21692327   4380357
  16.85606  16.85677    0.0235  17079822  21697427   4384047
  16.85542  16.85612    0.0235  17063722  21686227   4380697
  16.85478  16.85546    0.0235  17066022  21693827   4383477
  16.85414  16.85482    0.0235  17068722  21697427   4385557
  16.85350  16.85420    0.0235  17048722  21684227   4384847
  16.85286  16.85359    0.0235  17059022  21700827   4387577
  16.85222  16.85298    0.0235  17037522  21681927   4385097
  16.85158  16.85235    0.0235  17033722  21677627   4383897
  16.85094  16.85171    0.0235  17025522  21677327   4385017
