   9809     AichiSR  BL5S1
 FeO             22.09.01 11:46 - 22.09.01 11:48
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.3 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23042 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4442.500  9463.300  8296.400
  16.86819  16.86801    0.0235  44856858   2611957    777227
  16.86756  16.86737    0.0235  44856858   2611957    777227
  16.86692  16.86672    0.0235  44818658   2610667    777465
  16.86628  16.86606    0.0235  44827358   2611607    778144
  16.86564  16.86540    0.0235  44759258   2608257    777274
  16.86500  16.86476    0.0235  44721058   2606907    776998
  16.86436  16.86414    0.0235  44652358   2604237    776195
  16.86372  16.86352    0.0235  44643058   2604247    776891
  16.86308  16.86292    0.0235  44605158   2602777    776883
  16.86244  16.86228    0.0235  44540158   2599667    776280
  16.86181  16.86163    0.0235  44570858   2602017    777151
  16.86117  16.86098    0.0235  44536958   2601457    777732
  16.86053  16.86033    0.0235  44545458   2602937    777877
  16.85989  16.85969    0.0235  44607958   2607517    779215
  16.85925  16.85905    0.0235  44672758   2611587    781439
  16.85861  16.85842    0.0235  44730158   2616077    782043
  16.85797  16.85779    0.0235  44730158   2617087    783197
  16.85733  16.85715    0.0235  44782358   2621127    784527
  16.85669  16.85650    0.0235  44817758   2624537    786102
  16.85606  16.85584    0.0235  44828058   2625937    786743
  16.85542  16.85519    0.0235  44868358   2628767    787966
  16.85478  16.85456    0.0235  44846258   2628707    787859
  16.85414  16.85394    0.0235  44902258   2632247    789075
  16.85350  16.85334    0.0235  44912958   2634177    790305
  16.85286  16.85272    0.0235  44891958   2633697    790183
  16.85222  16.85209    0.0235  44907458   2635457    791673
  16.85158  16.85144    0.0235  44889658   2635587    791528
  16.85094  16.85078    0.0235  44874858   2635497    791329
  16.85031  16.85015    0.0235  44868058   2635507    792254
